Unnamed: 0,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality,label
94,Airtel,3G,Outdoor,Chandigarh,0.0,100.0,0.0,Excellent
95,Airtel,3G,Outdoor,Chattisgarh,0.0,66.66666666666666,33.33333333333333,Very Good
96,Airtel,3G,Outdoor,Delhi,4.0,20.44444444444445,75.55555555555556,Poor
97,Airtel,3G,Outdoor,Gujarat,6.578947368421053,78.94736842105263,14.473684210526311,Very Good
98,Airtel,3G,Outdoor,Haryana,7.0175438596491215,71.9298245614035,21.052631578947366,Very Good
99,Airtel,3G,Outdoor,Himachal Pradesh,0.0,45.45454545454545,54.54545454545454,Average
100,Airtel,3G,Outdoor,Jharkhand,29.268292682926827,9.75609756097561,60.97560975609756,Inadequate
101,Airtel,3G,Outdoor,Karnataka,9.411764705882351,39.607843137254896,50.98039215686275,Poor
102,Airtel,3G,Outdoor,Kashmir,100.0,0.0,0.0,Inadequate
103,Airtel,3G,Outdoor,Kerala,4.166666666666666,91.66666666666666,4.166666666666666,Excellent
104,Airtel,3G,Outdoor,Madhya Pradesh,0.0,90.0,10.0,Excellent
105,Airtel,3G,Outdoor,Maharashtra,1.984126984126984,77.38095238095238,20.63492063492064,Very Good
106,Airtel,3G,Outdoor,Odisha,0.0,93.54838709677419,6.451612903225808,Excellent
107,Airtel,3G,Outdoor,Punjab,10.526315789473683,5.263157894736842,84.21052631578947,Inadequate
108,Airtel,3G,Outdoor,Rajasthan,4.615384615384616,23.07692307692308,72.30769230769229,Poor
109,Airtel,3G,Outdoor,Sikkim,50.0,50.0,0.0,Average
110,Airtel,3G,Outdoor,Tamil Nadu,14.601769911504428,66.8141592920354,18.584070796460182,Very Good
111,Airtel,3G,Outdoor,Telangana,12.448132780082991,19.91701244813278,67.63485477178423,Inadequate
112,Airtel,3G,Outdoor,Tripura,0.0,9.523809523809524,90.4761904761905,Inadequate
113,Airtel,3G,Outdoor,Uttar Pradesh,3.23529411764706,46.764705882352935,50.0,Average
114,Airtel,3G,Outdoor,Uttarakhand,35.864978902953595,9.70464135021097,54.43037974683544,Inadequate
115,Airtel,3G,Outdoor,West Bengal,4.761904761904762,76.19047619047619,19.047619047619047,Very Good
116,Airtel,3G,Travelling,Andhra Pradesh,21.27659574468085,36.17021276595745,42.5531914893617,Poor
117,Airtel,3G,Travelling,Assam,0.0,66.66666666666666,33.33333333333333,Very Good
118,Airtel,3G,Travelling,Bihar,9.523809523809524,61.904761904761905,28.57142857142857,Very Good
119,Airtel,3G,Travelling,Chandigarh,33.33333333333333,33.33333333333333,33.33333333333333,Poor
120,Airtel,3G,Travelling,Chattisgarh,0.0,66.66666666666666,33.33333333333333,Very Good
121,Airtel,3G,Travelling,Delhi,18.666666666666668,45.33333333333333,36.0,Average
122,Airtel,3G,Travelling,Gujarat,21.052631578947366,71.05263157894737,7.894736842105262,Very Good
123,Airtel,3G,Travelling,Haryana,20.833333333333336,70.83333333333334,8.333333333333332,Very Good
124,Airtel,3G,Travelling,Himachal Pradesh,0.0,87.5,12.5,Excellent
125,Airtel,3G,Travelling,Jharkhand,25.0,12.5,62.5,Inadequate
126,Airtel,3G,Travelling,Karnataka,12.162162162162163,50.0,37.83783783783785,Average
127,Airtel,3G,Travelling,Kerala,25.0,50.0,25.0,Average
128,Airtel,3G,Travelling,Madhya Pradesh,0.0,62.5,37.5,Very Good
129,Airtel,3G,Travelling,Maharashtra,1.9480519480519485,87.01298701298703,11.03896103896104,Excellent
130,Airtel,3G,Travelling,Meghalaya,0.0,100.0,0.0,Excellent
131,Airtel,3G,Travelling,Odisha,0.0,84.61538461538461,15.384615384615385,Excellent
132,Airtel,3G,Travelling,Punjab,0.0,89.13043478260867,10.869565217391305,Excellent
133,Airtel,3G,Travelling,Rajasthan,2.4390243902439024,87.8048780487805,9.75609756097561,Excellent
134,Airtel,3G,Travelling,Tamil Nadu,2.247191011235955,68.53932584269663,29.21348314606741,Very Good
135,Airtel,3G,Travelling,Telangana,5.05050505050505,53.535353535353536,41.414141414141405,Average
136,Airtel,3G,Travelling,Tripura,0.0,18.75,81.25,Inadequate
137,Airtel,3G,Travelling,Uttar Pradesh,11.965811965811966,48.29059829059829,39.74358974358975,Average
138,Airtel,3G,Travelling,Uttarakhand,1.5151515151515151,80.3030303030303,18.181818181818183,Excellent
139,Airtel,3G,Travelling,West Bengal,5.0,60.0,35.0,Average
140,Airtel,4G,Indoor,Andhra Pradesh,8.995633187772926,81.04803493449782,9.956331877729257,Excellent
141,Airtel,4G,Indoor,Assam,11.111111111111107,72.2222222222222,16.666666666666664,Very Good
142,Airtel,4G,Indoor,Bihar,5.515587529976019,83.45323741007195,11.031175059952037,Excellent
143,Airtel,4G,Indoor,Chandigarh,18.918918918918926,18.918918918918926,62.16216216216216,Inadequate
144,Airtel,4G,Indoor,Chattisgarh,2.1582733812949644,76.97841726618705,20.863309352517987,Very Good
145,Airtel,4G,Indoor,Daman and Diu,0.0,100.0,0.0,Excellent
146,Airtel,4G,Indoor,Delhi,17.122186495176848,34.485530546623785,48.39228295819936,Poor
147,Airtel,4G,Indoor,Goa,11.111111111111107,0.0,88.88888888888891,Inadequate
148,Airtel,4G,Indoor,Gujarat,5.180840664711632,87.29227761485826,7.526881720430107,Excellent
149,Airtel,4G,Indoor,Haryana,7.592190889370933,81.34490238611714,11.062906724511931,Excellent
150,Airtel,4G,Indoor,Himachal Pradesh,39.285714285714285,25.0,35.714285714285715,Poor
151,Airtel,4G,Indoor,Jharkhand,9.392265193370166,79.00552486187846,11.602209944751381,Very Good
152,Airtel,4G,Indoor,Karnataka,15.80547112462006,69.30091185410336,14.893617021276595,Very Good
153,Airtel,4G,Indoor,Kashmir,0.0,0.0,100.0,Inadequate
154,Airtel,4G,Indoor,Kerala,5.063291139240507,86.07594936708858,8.860759493670884,Excellent
155,Airtel,4G,Indoor,Madhya Pradesh,5.956112852664576,78.99686520376177,15.047021943573668,Very Good
156,Airtel,4G,Indoor,Maharashtra,7.1563088512241055,76.15819209039549,16.68549905838041,Very Good
157,Airtel,4G,Indoor,Manipur,0.0,100.0,0.0,Excellent
158,Airtel,4G,Indoor,Meghalaya,0.0,100.0,0.0,Excellent
159,Airtel,4G,Indoor,Nagaland,0.0,100.0,0.0,Excellent
160,Airtel,4G,Indoor,Odisha,91.22807017543859,3.1578947368421053,5.614035087719297,Inadequate
161,Airtel,4G,Indoor,Pondicherry,0.0,81.81818181818183,18.181818181818183,Excellent
162,Airtel,4G,Indoor,Punjab,7.086614173228346,75.1968503937008,17.716535433070867,Very Good
163,Airtel,4G,Indoor,Rajasthan,5.782312925170068,78.45804988662131,15.759637188208616,Very Good
164,Airtel,4G,Indoor,Tamil Nadu,6.713078070611638,79.0154152163103,14.27150671307807,Very Good
165,Airtel,4G,Indoor,Telangana,8.299096138044371,71.98027937551356,19.72062448644207,Very Good
166,Airtel,4G,Indoor,Uttar Pradesh,7.078507078507079,62.93436293436292,29.987129987129983,Very Good
167,Airtel,4G,Indoor,Uttarakhand,16.155419222903888,55.623721881390594,28.22085889570552,Average
168,Airtel,4G,Indoor,West Bengal,5.569782330345711,87.00384122919334,7.426376440460948,Excellent
169,Airtel,4G,Outdoor,Andhra Pradesh,8.270676691729323,60.15037593984962,31.578947368421048,Very Good
170,Airtel,4G,Outdoor,Assam,28.57142857142857,14.285714285714285,57.14285714285714,Inadequate
