,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality
193,Airtel,4G,Outdoor,Uttarakhand,17.35159817351598,38.58447488584475,44.06392694063928
194,Airtel,4G,Outdoor,West Bengal,4.864864864864865,83.42342342342343,11.711711711711711
195,Airtel,4G,Travelling,Andhra Pradesh,6.482758620689656,12.0,81.51724137931033
196,Airtel,4G,Travelling,Assam,0.0,100.0,0.0
197,Airtel,4G,Travelling,Bihar,7.981220657276995,57.74647887323944,34.27230046948357
198,Airtel,4G,Travelling,Chandigarh,2.631578947368421,2.631578947368421,94.73684210526315
199,Airtel,4G,Travelling,Chattisgarh,1.3888888888888888,91.66666666666666,6.9444444444444455
200,Airtel,4G,Travelling,Delhi,6.3509149623250805,75.78040904198063,17.868675995694293
201,Airtel,4G,Travelling,Goa,100.0,0.0,0.0
202,Airtel,4G,Travelling,Gujarat,3.1674208144796383,93.96681749622923,2.865761689291101
203,Airtel,4G,Travelling,Haryana,5.0,80.45454545454545,14.545454545454545
204,Airtel,4G,Travelling,Himachal Pradesh,0.0,96.77419354838709,3.2258064516129035
205,Airtel,4G,Travelling,Jharkhand,21.428571428571427,50.0,28.57142857142857
206,Airtel,4G,Travelling,Karnataka,10.569105691056912,45.20325203252033,44.227642276422756
207,Airtel,4G,Travelling,Kerala,2.010050251256281,95.47738693467336,2.512562814070352
208,Airtel,4G,Travelling,Madhya Pradesh,2.8169014084507045,77.46478873239437,19.718309859154925
209,Airtel,4G,Travelling,Maharashtra,1.7790262172284643,88.67041198501873,9.550561797752808
210,Airtel,4G,Travelling,Meghalaya,0.0,100.0,0.0
211,Airtel,4G,Travelling,Odisha,22.72727272727273,68.18181818181817,9.090909090909092
212,Airtel,4G,Travelling,Punjab,0.8156606851549755,6.1990212071778155,92.9853181076672
213,Airtel,4G,Travelling,Rajasthan,3.153153153153153,78.82882882882883,18.01801801801802
214,Airtel,4G,Travelling,Tamil Nadu,8.24742268041237,76.6323024054983,15.120274914089348
215,Airtel,4G,Travelling,Telangana,3.5190615835777126,41.20234604105572,55.278592375366564
216,Airtel,4G,Travelling,Tripura,0.0,30.0,70.0
217,Airtel,4G,Travelling,Uttar Pradesh,12.324929971988794,61.344537815126046,26.33053221288516
218,Airtel,4G,Travelling,Uttarakhand,0.4878048780487805,95.60975609756098,3.902439024390244
219,Airtel,4G,Travelling,West Bengal,5.641025641025642,71.28205128205127,23.07692307692308
220,BSNL,2G,Indoor,Andaman and Nicobar Islands,0.0,91.66666666666666,8.333333333333332
221,BSNL,2G,Indoor,Andhra Pradesh,5.563282336578583,92.35048678720446,2.086230876216968
222,BSNL,2G,Indoor,Bihar,0.0,11.111111111111109,88.8888888888889
223,BSNL,2G,Indoor,Chattisgarh,8.571428571428571,77.14285714285717,14.285714285714285
224,BSNL,2G,Indoor,Gujarat,35.29411764705883,52.941176470588246,11.764705882352938
225,BSNL,2G,Indoor,Jharkhand,16.666666666666664,0.0,83.33333333333334
226,BSNL,2G,Indoor,Karnataka,8.433734939759036,71.68674698795179,19.87951807228916
227,BSNL,2G,Indoor,Kerala,3.4161490683229814,62.732919254658384,33.85093167701863
228,BSNL,2G,Indoor,Madhya Pradesh,0.0,70.0,30.0
229,BSNL,2G,Indoor,Maharashtra,6.593406593406594,84.61538461538461,8.791208791208794
230,BSNL,2G,Indoor,Manipur,0.0,100.0,0.0
231,BSNL,2G,Indoor,Odisha,13.043478260869565,41.30434782608695,45.65217391304348
232,BSNL,2G,Indoor,Punjab,0.0,42.857142857142854,57.14285714285714
233,BSNL,2G,Indoor,Rajasthan,5.882352941176469,88.23529411764706,5.882352941176469
234,BSNL,2G,Indoor,Tamil Nadu,7.5,50.0,42.5
235,BSNL,2G,Indoor,Telangana,1.7948717948717947,92.56410256410255,5.641025641025642
236,BSNL,2G,Indoor,Uttar Pradesh,0.0,72.72727272727273,27.27272727272727
237,BSNL,2G,Indoor,Uttarakhand,11.764705882352938,17.647058823529417,70.58823529411767
238,BSNL,2G,Indoor,West Bengal,4.545454545454546,48.701298701298704,46.75324675324675
239,BSNL,2G,Outdoor,Andaman and Nicobar Islands,27.27272727272727,63.63636363636363,9.090909090909092
240,BSNL,2G,Outdoor,Andhra Pradesh,25.0,50.0,25.0
241,BSNL,2G,Outdoor,Bihar,0.0,33.33333333333333,66.66666666666666
242,BSNL,2G,Outdoor,Chattisgarh,0.0,0.0,100.0
243,BSNL,2G,Outdoor,Gujarat,0.0,42.857142857142854,57.14285714285714
244,BSNL,2G,Outdoor,Himachal Pradesh,0.0,0.0,100.0
245,BSNL,2G,Outdoor,Jharkhand,0.0,30.303030303030305,69.6969696969697
246,BSNL,2G,Outdoor,Karnataka,4.205607476635514,91.58878504672896,4.205607476635514
247,BSNL,2G,Outdoor,Kerala,6.896551724137932,65.51724137931035,27.58620689655172
248,BSNL,2G,Outdoor,Madhya Pradesh,0.0,50.0,50.0
249,BSNL,2G,Outdoor,Maharashtra,0.0,100.0,0.0
250,BSNL,2G,Outdoor,Odisha,0.0,66.66666666666666,33.33333333333333
251,BSNL,2G,Outdoor,Punjab,0.0,5.0,95.0
252,BSNL,2G,Outdoor,Rajasthan,9.523809523809524,90.4761904761905,0.0
253,BSNL,2G,Outdoor,Tamil Nadu,0.0,75.0,25.0
254,BSNL,2G,Outdoor,Telangana,4.705882352941177,94.11764705882351,1.1764705882352942
255,BSNL,2G,Outdoor,Uttar Pradesh,0.0,100.0,0.0
256,BSNL,2G,Outdoor,Uttarakhand,0.0,14.285714285714285,85.71428571428571
257,BSNL,2G,Outdoor,West Bengal,3.669724770642202,7.339449541284404,88.9908256880734
258,BSNL,2G,Travelling,Andaman and Nicobar Islands,25.0,75.0,0.0
259,BSNL,2G,Travelling,Andhra Pradesh,9.090909090909092,72.72727272727273,18.181818181818183
260,BSNL,2G,Travelling,Assam,0.0,100.0,0.0
261,BSNL,2G,Travelling,Chattisgarh,0.0,0.0,100.0
262,BSNL,2G,Travelling,Gujarat,0.0,66.66666666666666,33.33333333333333
263,BSNL,2G,Travelling,Haryana,0.0,100.0,0.0
264,BSNL,2G,Travelling,Jharkhand,0.0,78.26086956521739,21.73913043478261
265,BSNL,2G,Travelling,Karnataka,33.33333333333333,33.33333333333333,33.33333333333333
266,BSNL,2G,Travelling,Kerala,4.3478260869565215,82.6086956521739,13.043478260869565
267,BSNL,2G,Travelling,Madhya Pradesh,0.0,100.0,0.0
268,BSNL,2G,Travelling,Maharashtra,12.0,82.0,6.0
269,BSNL,2G,Travelling,Manipur,0.0,100.0,0.0
270,BSNL,2G,Travelling,Odisha,0.0,100.0,0.0
271,BSNL,2G,Travelling,Tamil Nadu,0.0,100.0,0.0
272,BSNL,2G,Travelling,Telangana,6.896551724137932,79.3103448275862,13.79310344827586
273,BSNL,2G,Travelling,Uttar Pradesh,0.0,66.66666666666666,33.33333333333333
274,BSNL,2G,Travelling,Uttarakhand,0.0,0.0,100.0
275,BSNL,2G,Travelling,West Bengal,4.166666666666666,8.333333333333332,87.5
276,BSNL,3G,Indoor,Andaman and Nicobar Islands,11.764705882352938,17.647058823529417,70.58823529411767
277,BSNL,3G,Indoor,Andhra Pradesh,5.326876513317192,90.79903147699758,3.87409200968523
278,BSNL,3G,Indoor,Assam,0.0,0.0,100.0
279,BSNL,3G,Indoor,Chattisgarh,25.0,16.666666666666664,58.33333333333334
280,BSNL,3G,Indoor,Delhi,0.0,50.0,50.0
281,BSNL,3G,Indoor,Gujarat,81.55339805825244,13.106796116504855,5.339805825242718
282,BSNL,3G,Indoor,Himachal Pradesh,0.0,44.444444444444436,55.555555555555564
283,BSNL,3G,Indoor,Jharkhand,0.0,0.0,100.0
284,BSNL,3G,Indoor,Karnataka,14.64968152866242,49.68152866242039,35.668789808917204
285,BSNL,3G,Indoor,Kerala,0.7067137809187279,45.58303886925796,53.710247349823334
286,BSNL,3G,Indoor,Madhya Pradesh,0.9803921568627452,72.54901960784314,26.470588235294123
287,BSNL,3G,Indoor,Maharashtra,7.289002557544758,86.44501278772378,6.265984654731457
288,BSNL,3G,Indoor,Manipur,0.0,100.0,0.0
289,BSNL,3G,Indoor,Odisha,8.333333333333332,62.5,29.16666666666667
290,BSNL,3G,Indoor,Pondicherry,0.0,0.0,100.0
291,BSNL,3G,Indoor,Punjab,0.7042253521126761,99.2957746478873,0.0
292,BSNL,3G,Indoor,Rajasthan,4.166666666666666,75.0,20.833333333333336
293,BSNL,3G,Indoor,Tamil Nadu,7.456140350877192,82.89473684210526,9.649122807017543
294,BSNL,3G,Indoor,Telangana,1.8842530282637957,95.02018842530285,3.0955585464333777
295,BSNL,3G,Indoor,Uttar Pradesh,15.789473684210524,73.68421052631578,10.526315789473683
296,BSNL,3G,Indoor,Uttarakhand,42.857142857142854,42.857142857142854,14.285714285714285
297,BSNL,3G,Indoor,West Bengal,2.1857923497267757,75.40983606557377,22.404371584699454
298,BSNL,3G,Outdoor,Andaman and Nicobar Islands,80.0,20.0,0.0
299,BSNL,3G,Outdoor,Andhra Pradesh,28.125,28.125,43.75
300,BSNL,3G,Outdoor,Chattisgarh,12.5,12.5,75.0
301,BSNL,3G,Outdoor,Delhi,100.0,0.0,0.0
302,BSNL,3G,Outdoor,Gujarat,22.222222222222218,50.0,27.777777777777782
303,BSNL,3G,Outdoor,Haryana,0.0,100.0,0.0
304,BSNL,3G,Outdoor,Himachal Pradesh,0.0,100.0,0.0
305,BSNL,3G,Outdoor,Jharkhand,8.108108108108109,18.918918918918923,72.97297297297297
306,BSNL,3G,Outdoor,Karnataka,4.3478260869565215,63.76811594202898,31.88405797101449
307,BSNL,3G,Outdoor,Kerala,3.4482758620689653,96.55172413793105,0.0
308,BSNL,3G,Outdoor,Madhya Pradesh,100.0,0.0,0.0
309,BSNL,3G,Outdoor,Maharashtra,1.0869565217391304,92.3913043478261,6.521739130434782
310,BSNL,3G,Outdoor,Odisha,0.0,87.09677419354837,12.903225806451614
311,BSNL,3G,Outdoor,Punjab,0.0,89.47368421052632,10.526315789473683
312,BSNL,3G,Outdoor,Rajasthan,0.0,97.2972972972973,2.702702702702702
313,BSNL,3G,Outdoor,Tamil Nadu,5.0,71.66666666666667,23.33333333333333
314,BSNL,3G,Outdoor,Telangana,0.7194244604316548,96.40287769784172,2.8776978417266186
315,BSNL,3G,Outdoor,Uttar Pradesh,5.5555555555555545,77.7777777777778,16.666666666666664
316,BSNL,3G,Outdoor,Uttarakhand,8.333333333333332,8.333333333333332,83.33333333333334
317,BSNL,3G,Outdoor,West Bengal,2.42914979757085,11.740890688259109,85.82995951417004
318,BSNL,3G,Travelling,Andaman and Nicobar Islands,33.33333333333333,0.0,66.66666666666666
319,BSNL,3G,Travelling,Andhra Pradesh,25.0,50.0,25.0
320,BSNL,3G,Travelling,Chattisgarh,0.0,50.0,50.0
321,BSNL,3G,Travelling,Gujarat,9.090909090909092,72.72727272727273,18.181818181818183
322,BSNL,3G,Travelling,Haryana,0.0,66.66666666666666,33.33333333333333
323,BSNL,3G,Travelling,Himachal Pradesh,0.0,0.0,100.0
324,BSNL,3G,Travelling,Jharkhand,0.0,58.97435897435898,41.02564102564102
325,BSNL,3G,Travelling,Karnataka,1.9230769230769231,76.92307692307693,21.153846153846157
326,BSNL,3G,Travelling,Kerala,12.5,87.5,0.0
327,BSNL,3G,Travelling,Madhya Pradesh,0.0,100.0,0.0
328,BSNL,3G,Travelling,Maharashtra,3.7135278514588856,91.24668435013264,5.039787798408488
329,BSNL,3G,Travelling,Manipur,0.0,100.0,0.0
